Seconds_played,Home_or_Away,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,WinOrLoss,Margin
2005,1,12,17,1,1,3,0,2,2,1,2,2,4,6,3,0,3,4,27,24,-5,1,1,7,8,7,38,4,0,14,27,136,119,14,0,21
2005,1,12,17,1,1,3,0,2,2,1,2,2,4,6,3,0,3,4,27,24,-5,0,0,19,32,26,33,2,0,7,22,124,83,6,0,21
1709,0,6,12,0,0,0,0,1,3,0,5,9,14,6,1,0,1,6,13,14,15,1,1,7,8,7,38,4,0,14,27,136,119,14,1,29
1709,0,6,12,0,0,0,0,1,3,0,5,9,14,6,1,0,1,6,13,14,15,0,0,19,32,26,33,2,0,7,22,124,83,6,1,29
2064,1,7,13,1,1,2,0,11,11,1,3,9,12,10,0,0,5,4,26,25,-3,1,1,10,35,22,38,0,0,22,27,138,119,7,1,5
2064,1,7,13,1,1,2,0,11,11,1,3,9,12,10,0,0,5,4,26,25,-3,1,1,11,22,16,35,0,0,12,32,126,125,6,1,5
2234,0,10,19,1,1,3,0,6,9,1,3,6,9,9,0,0,3,4,27,22,6,1,1,10,35,22,38,0,0,22,27,138,119,7,1,9
2234,0,10,19,1,1,3,0,6,9,1,3,6,9,9,0,0,3,4,27,22,6,1,1,11,22,16,35,0,0,12,32,126,125,6,1,9
2321,0,6,10,1,1,1,1,6,9,1,1,15,16,13,1,1,3,2,19,25,18,1,1,3,40,21,47,1,2,18,18,142,105,12,1,5
2321,0,6,10,1,1,1,1,6,9,1,1,15,16,13,1,1,3,2,19,25,18,1,1,8,28,19,41,1,0,24,21,137,113,10,1,5
2283,1,9,13,1,2,3,1,0,0,0,2,9,11,12,1,0,4,4,20,22,7,1,1,3,40,21,47,1,2,18,18,142,105,12,1,9
2283,1,9,13,1,2,3,1,0,0,0,2,9,11,12,1,0,4,4,20,22,7,1,1,8,28,19,41,1,0,24,21,137,113,10,1,9
1618,1,3,4,1,0,0,0,3,3,1,1,8,9,9,0,0,1,5,9,14,-10,1,1,4,38,19,40,0,0,16,11,172,141,6,0,25
1618,1,3,4,1,0,0,0,3,3,1,1,8,9,9,0,0,1,5,9,14,-10,1,1,6,24,15,38,3,0,11,42,128,109,22,0,25
2348,1,15,26,1,5,8,1,8,12,1,2,9,11,6,2,0,4,3,43,34,-14,1,1,4,38,19,40,0,0,16,11,172,141,6,0,6
2348,1,15,26,1,5,8,1,8,12,1,2,9,11,6,2,0,4,3,43,34,-14,1,1,6,24,15,38,3,0,11,42,128,109,22,0,6
2088,0,12,17,1,0,4,0,7,7,1,1,12,13,9,4,0,3,3,31,34,28,1,1,3,32,18,49,5,0,13,28,141,89,20,1,11
2088,0,12,17,1,0,4,0,7,7,1,1,12,13,9,4,0,3,3,31,34,28,0,0,22,24,22,55,2,5,6,36,118,110,11,1,11
2515,0,8,29,0,3,8,0,9,10,1,9,8,17,12,2,2,2,4,28,27,3,1,1,3,32,18,49,5,0,13,28,141,89,20,1,3
2515,0,8,29,0,3,8,0,9,10,1,9,8,17,12,2,2,2,4,28,27,3,0,0,22,24,22,55,2,5,6,36,118,110,11,1,3
1528,0,3,10,0,0,4,0,6,8,1,3,7,10,6,1,1,1,1,12,14,8,0,0,12,27,20,34,2,4,7,24,125,98,8,1,16
1528,0,3,10,0,0,4,0,6,8,1,3,7,10,6,1,1,1,1,12,14,8,1,0,25,39,32,21,0,0,12,33,123,112,5,1,16
1976,0,9,21,0,1,2,0,5,5,1,8,11,19,5,0,0,3,1,24,22,19,0,0,12,27,20,34,2,4,7,24,125,98,8,1,18
1976,0,9,21,0,1,2,0,5,5,1,8,11,19,5,0,0,3,1,24,22,19,1,0,25,39,32,21,0,0,12,33,123,112,5,1,18
2152,1,8,16,0,1,5,0,6,7,1,4,10,14,6,0,2,2,0,23,24,0,1,1,10,28,19,26,0,4,10,25,130,120,9,0,11
2152,1,8,16,0,1,5,0,6,7,1,4,10,14,6,0,2,2,0,23,24,0,1,1,11,32,23,36,3,2,9,42,118,88,18,0,11
2476,0,17,30,1,2,6,0,3,4,1,3,13,16,5,2,1,3,2,39,33,2,1,1,10,28,19,26,0,4,10,25,130,120,9,1,10
2476,0,17,30,1,2,6,0,3,4,1,3,13,16,5,2,1,3,2,39,33,2,1,1,11,32,23,36,3,2,9,42,118,88,18,1,10
2138,1,6,9,1,0,0,0,3,3,1,0,13,13,14,1,0,10,3,15,15,15,1,1,0,36,20,51,1,0,49,25,102,105,3,1,12
2138,1,6,9,1,0,0,0,3,3,1,0,13,13,14,1,0,10,3,15,15,15,1,1,14,30,21,64,0,2,21,28,131,120,16,1,12
2516,1,11,19,1,1,2,0,7,8,1,6,11,17,17,0,1,6,3,30,34,5,1,1,0,36,20,51,1,0,49,25,102,105,3,0,7
2516,1,11,19,1,1,2,0,7,8,1,6,11,17,17,0,1,6,3,30,34,5,1,1,14,30,21,64,0,2,21,28,131,120,16,0,7
1594,0,9,10,1,1,1,1,2,2,1,0,6,6,10,2,0,4,2,21,24,20,1,1,0,25,14,49,4,0,27,25,150,100,19,1,25
1594,0,9,10,1,1,1,1,2,2,1,0,6,6,10,2,0,4,2,21,24,20,1,1,4,11,7,52,0,2,14,47,137,141,19,1,25
2367,1,20,30,1,2,4,0,11,13,1,1,3,4,11,0,1,6,2,53,42,2,1,1,0,25,14,49,4,0,27,25,150,100,19,0,5
2367,1,20,30,1,2,4,0,11,13,1,1,3,4,11,0,1,6,2,53,42,2,1,1,4,11,7,52,0,2,14,47,137,141,19,0,5
2037,1,11,20,1,0,1,0,4,5,1,1,7,8,10,2,3,4,2,26,25,15,1,1,4,24,14,45,3,9,15,32,115,99,10,1,6
2037,1,11,20,1,0,1,0,4,5,1,1,7,8,10,2,3,4,2,26,25,15,1,1,12,24,18,58,1,4,15,31,129,101,16,1,6
2253,0,12,20,1,2,3,1,3,5,1,4,9,13,12,1,2,4,3,29,30,18,1,1,4,24,14,45,3,9,15,32,115,99,10,1,16
2253,0,12,20,1,2,3,1,3,5,1,4,9,13,12,1,2,4,3,29,30,18,1,1,12,24,18,58,1,4,15,31,129,101,16,1,16
1242,1,10,20,0,1,3,0,3,3,1,1,3,4,6,2,1,1,5,24,20,11,1,1,5,15,10,70,4,4,4,43,123,104,13,1,3
1242,1,10,20,0,1,3,0,3,3,1,1,3,4,6,2,1,1,5,24,20,11,1,1,11,25,18,56,4,2,9,27,159,97,24,1,3
2254,1,13,18,1,0,1,0,6,6,1,3,7,10,12,3,1,2,4,32,37,28,1,1,5,15,10,70,4,4,4,43,123,104,13,1,25
2254,1,13,18,1,0,1,0,6,6,1,3,7,10,12,3,1,2,4,32,37,28,1,1,11,25,18,56,4,2,9,27,159,97,24,1,25
1784,1,12,20,1,2,4,0,3,4,1,3,5,8,3,0,0,2,4,29,22,-14,1,1,10,22,15,21,0,0,8,36,127,141,8,0,19
1784,1,12,20,1,2,4,0,3,4,1,3,5,8,3,0,0,2,4,29,22,-14,1,1,17,46,31,44,0,4,20,26,157,130,19,0,19
2546,0,12,17,1,3,3,1,7,8,1,6,15,21,14,0,2,5,4,34,40,11,1,1,10,22,15,21,0,0,8,36,127,141,8,1,6
2546,0,12,17,1,3,3,1,7,8,1,6,15,21,14,0,2,5,4,34,40,11,1,1,17,46,31,44,0,4,20,26,157,130,19,1,6
1656,1,4,4,1,0,0,0,0,0,0,0,6,6,14,3,0,2,0,8,19,29,1,1,0,27,14,59,5,0,33,10,172,97,22,1,23
1656,1,4,4,1,0,0,0,0,0,0,0,6,6,14,3,0,2,0,8,19,29,0,0,10,35,22,48,4,0,18,29,107,99,8,1,23
2517,0,9,21,0,0,3,0,5,6,1,4,13,17,12,3,0,5,3,23,23,7,1,1,0,27,14,59,5,0,33,10,172,97,22,1,5
2517,0,9,21,0,0,3,0,5,6,1,4,13,17,12,3,0,5,3,23,23,7,0,0,10,35,22,48,4,0,18,29,107,99,8,1,5
2295,1,9,19,0,2,5,0,4,7,1,1,5,6,8,1,0,2,4,24,18,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11
2295,1,9,19,0,2,5,0,4,7,1,1,5,6,8,1,0,2,4,24,18,15,1,1,3,14,9,31,1,0,8,30,114,114,3,1,11
2716,1,11,24,0,3,6,0,5,6,1,3,11,14,13,1,3,3,5,30,30,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
2716,1,11,24,0,3,6,0,5,6,1,3,11,14,13,1,3,3,5,30,30,6,1,1,8,32,19,47,1,5,10,31,127,117,13,1,2
2427,0,8,12,1,1,2,0,10,12,1,0,10,10,14,1,1,2,1,27,33,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11
2427,0,8,12,1,1,2,0,10,12,1,0,10,10,14,1,1,2,1,27,33,14,1,1,0,24,14,54,1,2,10,23,156,98,22,1,11
2204,0,12,16,1,0,0,0,7,11,1,2,7,9,10,1,1,5,3,31,29,13,1,1,6,24,14,48,1,2,19,30,130,113,15,0,2
2589,1,11,15,1,1,3,0,16,18,1,3,7,10,9,0,0,4,5,39,37,11,1,1,8,17,13,39,0,0,15,27,160,126,13,1,5
1944,1,7,13,1,0,1,0,5,7,1,2,11,13,6,2,1,2,3,19,20,19,1,1,8,53,28,26,3,3,11,26,124,107,8,1,10
1647,0,11,17,1,1,2,0,9,10,1,6,6,12,8,0,0,3,2,32,32,8,1,1,28,25,26,46,0,0,12,38,154,118,17,1,16
1653,0,7,9,1,2,3,1,1,1,1,1,8,9,12,1,1,4,5,17,21,10,1,1,5,32,19,66,2,4,30,23,148,99,18,1,20
2104,1,10,15,1,3,6,0,1,4,0,1,9,10,8,1,0,2,2,24,24,-8,1,1,3,34,18,35,2,0,11,24,135,121,12,0,8
2237,1,13,19,1,1,4,0,5,9,1,4,12,16,9,2,1,4,4,32,32,2,1,1,13,39,26,48,3,2,15,31,131,115,17,0,15
2043,0,7,13,1,0,3,0,5,6,1,0,8,8,8,1,0,3,1,19,18,2,1,1,0,35,16,37,2,0,16,24,119,121,4,0,1
2061,1,14,25,1,1,3,0,4,6,1,3,7,10,9,0,1,6,1,33,25,-8,1,1,10,22,16,46,0,3,18,40,118,125,7,1,1
2122,0,11,20,1,1,4,0,8,10,1,3,9,12,14,1,4,3,3,31,35,10,1,1,11,28,20,59,1,12,11,37,134,107,22,1,5
1983,0,17,20,1,0,2,0,9,10,1,2,12,14,8,5,1,8,2,43,43,28,1,1,11,42,30,40,7,3,25,40,136,105,20,1,13
2117,1,8,15,1,1,3,0,8,9,1,2,9,11,8,4,0,5,3,25,25,-14,1,1,6,30,18,39,5,0,21,29,119,112,11,0,18
2381,0,13,26,0,2,4,0,12,17,1,7,20,27,10,2,0,5,4,40,38,20,1,1,17,46,32,44,2,0,13,38,122,99,16,1,4
2225,0,6,12,0,1,1,1,0,1,0,4,9,13,13,2,0,4,1,13,19,13,1,1,11,28,19,52,3,0,24,18,112,90,11,1,14
2143,0,12,21,1,0,0,0,5,8,1,2,6,8,11,2,0,2,4,29,27,8,1,1,8,17,13,48,3,0,8,35,127,108,10,1,13
2665,0,16,25,1,2,4,0,7,9,1,4,11,15,15,0,1,3,4,41,42,12,1,1,10,27,19,69,0,2,9,32,148,119,21,1,3
2213,1,7,10,1,0,0,0,6,6,1,0,9,9,11,1,0,0,3,20,26,13,1,1,0,31,15,45,1,0,0,15,181,111,13,1,7
1949,1,15,24,1,0,3,0,10,10,1,1,6,7,6,1,1,5,3,40,31,-1,1,1,5,23,15,33,2,2,15,45,128,127,7,0,1
2177,0,8,15,1,2,3,1,1,1,1,1,11,12,12,1,1,3,3,19,22,14,1,1,4,35,22,46,1,2,16,23,131,113,9,1,5
1922,0,10,13,1,2,2,1,8,8,1,0,12,12,12,1,0,0,1,30,38,14,1,1,0,41,24,60,2,0,0,24,194,106,28,1,12
1997,1,10,20,0,1,3,0,3,4,1,1,6,7,9,2,0,5,4,24,18,-9,1,1,3,23,12,47,3,0,19,34,109,126,5,0,13
1451,0,4,8,0,0,1,0,4,5,1,0,6,6,9,1,0,2,0,12,15,18,1,0,0,22,12,48,2,0,16,22,128,91,11,1,31
2123,0,10,17,1,3,4,1,5,5,1,4,11,15,10,2,0,4,4,28,30,18,1,1,16,28,23,46,3,0,17,30,147,110,17,1,13
2109,0,5,5,1,1,1,1,3,3,1,2,9,11,16,1,1,4,2,14,25,10,1,1,6,24,15,56,1,2,39,11,161,103,16,1,13
1698,0,10,15,1,0,0,0,1,3,0,4,14,18,9,1,0,3,3,21,24,17,1,1,19,52,37,49,2,0,16,31,133,88,12,1,29
2087,0,8,11,1,1,4,0,0,0,0,0,10,10,14,2,1,4,3,17,23,16,1,1,0,35,17,52,3,2,27,18,137,111,14,1,3
2068,0,13,14,1,1,2,0,9,10,1,2,10,12,10,1,1,4,2,36,39,19,1,1,7,39,22,54,1,3,18,28,165,112,24,1,9
1872,0,12,20,1,0,0,0,7,7,1,4,7,11,13,1,0,3,5,31,32,21,1,1,19,28,24,75,2,0,12,36,143,118,20,1,4
2165,1,11,15,1,2,4,0,1,2,0,2,9,11,10,1,0,3,2,25,27,-6,1,1,7,29,19,55,2,0,16,26,143,106,17,1,1
2299,1,8,12,1,2,2,1,6,6,1,1,7,8,9,0,2,7,2,24,22,-1,1,1,4,21,13,33,0,5,32,26,123,131,5,0,7
2280,0,10,14,1,1,3,0,5,5,1,1,17,18,15,1,1,5,2,26,32,20,1,1,3,51,28,62,1,2,24,23,144,104,18,1,9
1962,0,9,13,1,0,0,0,4,5,1,2,12,14,16,1,1,3,0,22,31,26,1,1,8,43,26,62,2,3,16,24,151,111,20,1,17
2060,0,5,8,1,0,1,0,4,5,1,3,15,18,10,1,2,5,3,14,20,20,1,1,9,46,28,34,1,4,33,18,122,100,6,1,20
1665,0,8,10,1,0,1,0,4,5,1,1,11,12,16,1,1,1,1,20,31,40,1,1,5,41,26,63,2,4,8,20,177,103,25,1,34
2259,1,10,19,1,3,5,1,6,9,1,2,10,12,6,1,2,7,3,29,21,8,1,1,6,27,18,29,1,4,23,34,103,110,6,0,11
2043,1,11,22,0,0,0,0,8,9,1,7,9,16,10,0,2,4,1,30,30,22,1,0,22,30,26,41,0,5,13,35,123,100,13,1,14
2034,1,12,14,1,0,0,0,3,3,1,0,12,12,8,0,0,0,3,27,30,5,1,1,0,40,23,42,0,0,0,23,186,115,16,1,4
2048,0,6,9,1,0,0,0,2,3,1,1,12,13,10,1,1,5,2,14,17,9,1,1,4,39,25,36,2,3,33,21,114,109,4,1,9
2151,1,8,13,1,2,2,1,6,6,1,7,11,18,13,2,0,7,3,24,29,14,1,1,20,35,27,62,3,0,31,28,135,110,17,1,6
1601,1,7,11,1,0,0,0,1,1,1,3,10,13,3,0,0,3,1,15,14,-20,1,1,11,38,24,23,0,0,21,24,112,112,3,0,18
2493,0,14,21,1,0,1,0,12,15,1,8,9,17,10,3,0,1,2,40,46,11,1,1,24,26,25,41,4,0,4,30,162,111,22,1,10
1665,1,7,11,1,0,0,0,0,1,0,5,6,11,10,0,0,4,2,14,16,31,1,1,21,25,23,42,0,0,26,24,127,115,2,1,21
2118,0,7,10,1,0,0,0,4,6,1,3,15,18,10,0,1,2,5,18,23,16,1,1,10,41,26,45,0,3,14,18,145,97,14,1,16
2173,0,5,8,1,1,1,1,6,6,1,3,10,13,9,0,1,4,1,17,21,7,1,1,10,33,21,33,0,2,27,18,140,116,8,1,5
2102,0,7,16,0,3,9,0,1,4,0,1,11,12,8,0,0,5,1,18,13,-14,1,1,3,36,18,40,0,0,22,30,92,123,1,0,21
2310,1,14,24,1,4,6,1,5,6,1,3,8,11,11,3,0,5,2,37,35,-2,1,1,8,26,16,52,4,0,16,35,127,120,13,0,8
2340,0,14,23,1,0,1,0,7,10,1,6,14,20,11,2,2,3,2,35,39,14,1,1,19,45,32,49,3,6,10,32,142,118,19,0,2
2092,1,10,13,1,0,1,0,8,8,1,2,6,8,7,1,0,4,3,28,27,-8,1,1,8,20,14,34,1,0,20,28,143,131,9,0,15
2009,1,14,18,1,0,1,0,2,3,1,4,6,10,9,1,1,1,2,30,33,13,1,1,16,18,17,48,2,2,5,27,164,105,21,1,19
2211,1,11,18,1,1,5,0,1,1,1,2,8,10,8,0,1,6,2,24,19,2,1,1,8,25,17,36,0,3,24,31,108,122,5,0,6
2187,1,9,12,1,0,0,0,4,4,1,4,13,17,10,2,0,1,5,22,30,13,1,1,18,40,31,44,3,0,7,19,171,103,18,1,6
2016,1,12,16,1,2,3,1,5,5,1,5,7,12,7,3,0,2,1,31,36,28,1,1,19,25,22,40,5,0,10,28,168,109,26,1,14
1913,0,10,20,0,1,6,0,10,11,1,1,5,6,11,1,0,3,2,31,28,19,1,1,4,17,10,52,2,0,11,38,131,104,14,1,23
2098,0,8,11,1,0,0,0,9,11,1,3,14,17,12,0,2,3,3,25,32,11,1,1,11,45,28,51,0,5,16,24,154,110,17,1,5
1481,1,7,13,1,0,2,0,0,1,0,2,8,10,4,2,3,8,1,14,10,-21,1,1,8,29,19,28,4,8,37,36,73,107,-4,0,21
1598,1,2,5,0,0,1,0,2,2,1,0,10,10,10,2,0,4,2,6,10,-5,1,0,0,34,18,48,3,0,40,16,99,99,2,0,4
2083,1,13,22,1,1,6,0,0,0,0,2,11,13,2,2,0,3,3,27,21,28,1,1,7,30,20,11,3,0,12,33,109,92,4,1,12
2083,1,13,22,1,1,6,0,0,0,0,2,11,13,2,2,0,3,3,27,21,28,0,0,14,23,18,32,4,3,10,37,103,120,5,1,12
2074,1,12,25,0,0,4,0,1,2,0,4,6,10,6,3,1,3,4,25,20,-19,1,1,7,30,20,11,3,0,12,33,109,92,4,0,16
2074,1,12,25,0,0,4,0,1,2,0,4,6,10,6,3,1,3,4,25,20,-19,0,0,14,23,18,32,4,3,10,37,103,120,5,0,16
2017,0,14,19,1,2,2,1,2,3,1,5,11,16,7,3,1,6,4,32,32,14,1,1,18,39,29,42,4,2,23,34,127,85,21,1,6
2017,0,14,19,1,2,2,1,2,3,1,5,11,16,7,3,1,6,4,32,32,14,1,0,18,28,23,31,2,8,11,40,122,126,9,1,6
1697,1,9,20,0,0,4,0,8,8,1,5,6,11,4,1,2,3,5,26,21,-26,1,1,18,39,29,42,4,2,23,34,127,85,21,0,20
1697,1,9,20,0,0,4,0,8,8,1,5,6,11,4,1,2,3,5,26,21,-26,1,0,18,28,23,31,2,8,11,40,122,126,9,0,20
2097,0,9,15,1,1,4,0,5,6,1,3,16,19,3,3,0,6,3,24,22,-12,1,1,8,47,27,18,4,0,25,29,105,90,10,0,12
2097,0,9,15,1,1,4,0,5,6,1,3,16,19,3,3,0,6,3,24,22,-12,1,1,14,47,30,28,4,0,16,36,129,117,14,0,12
2302,0,14,22,1,2,3,1,7,9,1,4,14,18,5,3,0,5,3,37,34,3,1,1,8,47,27,18,4,0,25,29,105,90,10,0,5
2302,0,14,22,1,2,3,1,7,9,1,4,14,18,5,3,0,5,3,37,34,3,1,1,14,47,30,28,4,0,16,36,129,117,14,0,5
900,1,8,9,1,3,3,1,5,7,1,1,5,6,6,0,0,1,1,24,25,7,1,1,8,42,25,100,0,0,8,39,191,122,49,0,12
900,1,8,9,1,3,3,1,5,7,1,1,5,6,6,0,0,1,1,24,25,7,1,1,4,24,15,33,0,0,23,36,122,121,6,0,12
2262,0,14,21,1,3,5,1,6,6,1,1,7,8,6,0,0,7,3,37,27,-2,1,1,8,42,25,100,0,0,8,39,191,122,49,1,5
2262,0,14,21,1,3,5,1,6,6,1,1,7,8,6,0,0,7,3,37,27,-2,1,1,4,24,15,33,0,0,23,36,122,121,6,1,5
1515,0,5,9,1,1,3,0,0,0,0,2,14,16,8,1,0,1,4,11,16,26,1,1,11,51,35,45,2,0,10,18,137,67,17,1,31
1515,0,5,9,1,1,3,0,0,0,0,2,14,16,8,1,0,1,4,11,16,26,1,1,10,57,33,66,2,6,22,38,117,99,20,1,31
1932,1,12,18,1,0,2,0,6,8,1,3,16,19,8,1,2,6,5,30,28,0,1,1,11,51,35,45,2,0,10,18,137,67,17,0,4
1932,1,12,18,1,0,2,0,6,8,1,3,16,19,8,1,2,6,5,30,28,0,1,1,10,57,33,66,2,6,22,38,117,99,20,0,4
2200,1,10,23,0,3,8,0,3,4,1,5,14,19,7,1,2,7,2,26,21,17,1,0,14,37,26,40,1,6,22,37,97,86,9,1,2
1983,1,9,15,1,2,6,0,3,4,1,1,6,7,7,0,4,3,2,23,22,0,1,1,3,19,11,39,0,9,15,27,120,105,14,0,9
