Team,MP,FG%,3P%,FT%,TS%,USG%,ORtg,DRtg,PTS,TRB,AST
Atlanta,30.1,0.5,0.288,0.692,0.565,25.7,121,106,18.1,10.9,6.3
Boston,30.8,0.554,0.364,0.824,0.639,27.9,124,108,21.5,10.3,6.5
Charlotte,32.1,0.515,0.293,0.798,0.586,29.2,120,107,22.1,13.9,7.1
Chicago,28,0.522,0.447,0.821,0.602,26.6,130,107,18.1,9.9,7.7
Cleveland,31.2,0.579,0.41,0.864,0.662,24.4,127,110,18.4,10.7,7.1
Dallas,30,0.531,0.27,0.777,0.595,27.3,116,107,18.2,11.4,6.2
Detroit,30.5,0.575,0.265,0.817,0.636,27.2,129,105,21.4,9.1,6.3
Golden State,29.6,0.499,0.182,0.8,0.571,27.2,114,111,17.8,10.3,6.6
Houston,27.6,0.576,0.341,0.802,0.634,28.8,119,111,19,10.3,6.5
Indiana,31.5,0.559,0.429,0.845,0.644,30.9,126,109,25.1,9.5,5.4
LA Clippers,30.5,0.538,0.325,0.828,0.627,27.3,126,108,20.7,10.9,6.1
LA Lakers,30.5,0.527,0.292,0.883,0.621,26.1,121,107,19,10.2,6.2
Memphis,31.7,0.577,0.373,0.845,0.664,24.6,125,104,19.6,10.4,5.6
Miami,32.6,0.554,0.439,0.817,0.627,25,127,107,20.2,11.1,6.3
Milwaukee,31.4,0.544,0.429,0.87,0.632,27.3,128,108,21.4,9.5,8.5
Minnesota,32,0.53,0.264,0.82,0.599,28.1,119,109,20.4,10.6,6.8
New Jersey,30.3,0.582,0.318,0.885,0.66,26.9,134,108,22.6,11.6,6.3
New Orleans,30,0.592,0.407,0.827,0.671,27.6,129,109,21.7,10.1,7
New York,30.1,0.563,0.396,0.765,0.634,28.9,128,109,22.1,10.2,5.9
Oklahoma City,31.8,0.559,0.28,0.875,0.645,26.1,126,106,21,10.6,6.6
Orlando,31.9,0.498,0.346,0.804,0.582,24.5,121,105,17.7,10.3,8.3
Philadelphia,33,0.544,0.368,0.819,0.638,27.2,125,109,22.4,10.5,7.8
Phoenix,31.7,0.57,0.404,0.859,0.662,25.6,130,106,20.5,10.9,6.5
Portland,29.9,0.558,0.367,0.823,0.637,26.2,128,109,19.6,9.5,6.3
Sacramento,31.2,0.547,0.303,0.857,0.629,25.2,123,107,19.1,10.9,7
San Antonio,32.2,0.601,0.483,0.826,0.677,28.1,124,112,23,9.9,7.6
Toronto,29.6,0.613,0.259,0.868,0.679,24.6,133,112,19,10.9,5.9
Utah,30.5,0.529,0.333,0.821,0.613,25.9,123,107,18.4,10.2,7.1
Washington,30.7,0.615,0.541,0.849,0.704,26.6,131,107,22.3,11.3,5.9